企业ID,信用等级
7218,异常
8292,异常
4608,正常
5115,正常
1860,正常
9584,异常
9829,异常
9864,异常
9992,异常
5909,正常
3015,正常
5081,正常
8398,异常
9032,异常
4825,正常
4558,正常
7465,异常
7870,异常
2316,正常
4896,正常
7216,异常
8092,异常
2198,正常
7193,异常
1807,正常
6332,正常
6608,正常
483,正常
2491,正常
1334,正常
4218,正常
4054,正常
4126,正常
5370,正常
9853,异常
7699,异常
5461,正常
93,正常
8546,异常
8764,异常
2678,正常
3338,正常
1199,正常
1039,正常
8581,异常
6631,正常
4757,正常
1435,正常
8282,异常
6084,正常
4787,正常
9753,异常
9906,异常
4407,正常
6312,正常
9434,异常
5369,正常
5626,正常
2457,正常
2300,正常
5400,正常
6141,正常
2766,正常
7851,异常
5658,正常
9614,异常
9583,异常
1649,正常
5210,正常
3051,正常
4335,正常
336,正常
9472,异常
9014,异常
8994,异常
7447,异常
9218,异常
9811,异常
1981,正常
9292,异常
794,正常
1146,正常
7105,异常
938,正常
3387,正常
3446,正常
5351,正常
3549,正常
8610,异常
4942,正常
3738,正常
7381,异常
1277,正常
4295,正常
6152,正常
6381,正常
5402,正常
5088,正常
837,正常
3548,正常
966,正常
6577,正常
4070,正常
6722,正常
3422,正常
7964,异常
2376,正常
4328,正常
8163,异常
5387,正常
6509,正常
6592,正常
2988,正常
2946,正常
5430,正常
294,正常
8218,异常
8575,异常
6065,正常
4636,正常
5078,正常
8133,异常
7639,异常
9373,异常
4460,正常
2207,正常
6928,正常
705,正常
6989,正常
3150,正常
2223,正常
9111,异常
3405,正常
2439,正常
9586,异常
5030,正常
9190,异常
7975,异常
7830,异常
8045,异常
4072,正常
8799,异常
8012,异常
4950,正常
7452,异常
4670,正常
6581,正常
4093,正常
712,正常
5465,正常
7599,异常
2451,正常
5831,正常
526,正常
9514,异常
174,正常
2436,正常
2679,正常
151,正常
3862,正常
8848,异常
4914,正常
8636,异常
2288,正常
1478,正常
1863,正常
9359,异常
2600,正常
6526,正常
8780,异常
1384,正常
1853,正常
5375,正常
6584,正常
3413,正常
109,正常
258,正常
2066,正常
9362,异常
1915,正常
7118,异常
2405,正常
7800,异常
4609,正常
5847,正常
4799,正常
656,正常
3070,正常
7162,异常
37,正常
2204,正常
3140,正常
6142,正常
1283,正常
9980,异常
6378,正常
1627,正常
9163,异常
9616,异常
1872,正常
6616,正常
4151,正常
3394,正常
2900,正常
6289,正常
625,正常
2445,正常
4081,正常
7849,异常
8143,异常
4416,正常
8646,异常
2298,正常
1844,正常
9513,异常
9058,异常
6521,正常
3362,正常
4584,正常
4380,正常
5511,正常
3286,正常
8476,异常
4563,正常
7246,异常
6195,正常
400,正常
3216,正常
8566,异常
5557,正常
377,正常
264,正常
4841,正常
124,正常
4079,正常
2478,正常
9460,异常
2269,正常
160,正常
8364,异常
1614,正常
1704,正常
9055,异常
6051,正常
335,正常
6606,正常
7065,异常
8846,异常
1330,正常
5975,正常
1247,正常
9239,异常
7577,异常
9977,异常
6105,正常
2948,正常
6909,正常
3445,正常
5480,正常
2500,正常
7291,异常
3558,正常
2740,正常
8453,异常
9773,异常
2347,正常
6977,正常
1691,正常
1711,正常
7738,异常
1542,正常
346,正常
6255,正常
8708,异常
587,正常
1477,正常
7086,异常
5227,正常
8186,异常
7443,异常
4647,正常
9002,异常
7658,异常
6016,正常
1325,正常
1458,正常
8855,异常
3458,正常
6323,正常
8983,异常
2251,正常
9053,异常
9398,异常
5816,正常
6599,正常
1573,正常
1779,正常
6439,正常
8085,异常
6252,正常
9221,异常
2304,正常
300,正常
8386,异常
9124,异常
3822,正常
3428,正常
903,正常
6801,正常
4718,正常
4911,正常
2409,正常
2163,正常
6957,正常
4099,正常
9902,异常
3624,正常
3364,正常
1886,正常
3766,正常
7601,异常
4809,正常
6779,正常
5384,正常
5572,正常
9387,异常
1451,正常
8006,异常
9995,异常
7238,异常
731,正常
4057,正常
7600,异常
719,正常
7834,异常
7811,异常
5533,正常
6000,正常
6721,正常
4764,正常
8515,异常
9146,异常
1486,正常
399,正常
4931,正常
3814,正常
2433,正常
1827,正常
4988,正常
8124,异常
9470,异常
7412,异常
4399,正常
5112,正常
1166,正常
7748,异常
8204,异常
5945,正常
6137,正常
7368,异常
5720,正常
8290,异常
7264,异常
3670,正常
8891,异常
2091,正常
6305,正常
5143,正常
5193,正常
9826,异常
7448,异常
3649,正常
5198,正常
4048,正常
1363,正常
5783,正常
6166,正常
52,正常
3520,正常
9690,异常
3233,正常
4321,正常
3425,正常
917,正常
4961,正常
1857,正常
9552,异常
6913,正常
865,正常
3166,正常
7137,异常
8674,异常
4276,正常
9535,异常
5957,正常
279,正常
8034,异常
5750,正常
8479,异常
4000,正常
2534,正常
4916,正常
8057,异常
9390,异常
2186,正常
7406,异常
2747,正常
6287,正常
5295,正常
2030,正常
9550,异常
2077,正常
4129,正常
9691,异常
2696,正常
8950,异常
2361,正常
6460,正常
2574,正常
6896,正常
1662,正常
6776,正常
1655,正常
6869,正常
5920,正常
6472,正常
3889,正常
6497,正常
6284,正常
9855,异常
7387,异常
7464,异常
9101,异常
5559,正常
4726,正常
5309,正常
6655,正常
6848,正常
5759,正常
1007,正常
2878,正常
9202,异常
3988,正常
2073,正常
6085,正常
8276,异常
5634,正常
6418,正常
9149,异常
1129,正常
2150,正常
9625,异常
2881,正常
3494,正常
4788,正常
5020,正常
410,正常
1716,正常
3401,正常
972,正常
7525,异常
4544,正常
3132,正常
7166,异常
1805,正常
7222,异常
6657,正常
3059,正常
1455,正常
4828,正常
1616,正常
4774,正常
6736,正常
5239,正常
428,正常
1880,正常
8413,异常
7275,异常
8415,异常
4654,正常
4251,正常
4743,正常
3429,正常
2938,正常
933,正常
5587,正常
175,正常
593,正常
5663,正常
4630,正常
1088,正常
3696,正常
1301,正常
607,正常
1296,正常
3883,正常
9972,异常
2511,正常
3722,正常
7130,异常
4728,正常
1593,正常
4578,正常
5977,正常
2886,正常
569,正常
5541,正常
7735,异常
9418,异常
4192,正常
7366,异常
2664,正常
4400,正常
7956,异常
1677,正常
1162,正常
1831,正常
8517,异常
7839,异常
4097,正常
5161,正常
5271,正常
1598,正常
7261,异常
685,正常
4148,正常
787,正常
9797,异常
1651,正常
4513,正常
2684,正常
5996,正常
7079,异常
8572,异常
5988,正常
5960,正常
7248,异常
1759,正常
3258,正常
6566,正常
5176,正常
6992,正常
3877,正常
9736,异常
4027,正常
7410,异常
2307,正常
482,正常
8246,异常
3990,正常
7775,异常
987,正常
4627,正常
8352,异常
5761,正常
9962,异常
3522,正常
8437,异常
8229,异常
1233,正常
9168,异常
3939,正常
3442,正常
7409,异常
2732,正常
8879,异常
9326,异常
4596,正常
3681,正常
7888,异常
8761,异常
1767,正常
3369,正常
6120,正常
2539,正常
2545,正常
1292,正常
9277,异常
4411,正常
6542,正常
4119,正常
4404,正常
9938,异常
6799,正常
9786,异常
1183,正常
147,正常
114,正常
2489,正常
9835,异常
928,正常
1846,正常
7958,异常
1060,正常
5337,正常
7576,异常
8542,异常
6253,正常
5571,正常
5083,正常
6005,正常
3312,正常
2050,正常
4202,正常
8759,异常
7202,异常
9042,异常
6027,正常
5105,正常
6725,正常
7462,异常
3996,正常
3123,正常
1083,正常
3173,正常
9525,异常
1187,正常
2403,正常
6302,正常
2110,正常
4166,正常
9575,异常
9015,异常
495,正常
6647,正常
3565,正常
1536,正常
642,正常
2648,正常
4509,正常
619,正常
1415,正常
9947,异常
3091,正常
8718,异常
2193,正常
836,正常
3540,正常
4069,正常
1439,正常
5666,正常
885,正常
5496,正常
5961,正常
2974,正常
9968,异常
9226,异常
2884,正常
4063,正常
5711,正常
4814,正常
6525,正常
834,正常
4843,正常
864,正常
4453,正常
5786,正常
7706,异常
5880,正常
3777,正常
8094,异常
5254,正常
1881,正常
3626,正常
4551,正常
7143,异常
949,正常
4882,正常
6455,正常
6240,正常
4134,正常
5209,正常
3633,正常
2452,正常
2420,正常
8231,异常
4794,正常
9304,异常
2707,正常
3995,正常
60,正常
6364,正常
6761,正常
5243,正常
9532,异常
2034,正常
9365,异常
5823,正常
847,正常
4340,正常
553,正常
6276,正常
4150,正常
2443,正常
1067,正常
9121,异常
9628,异常
2209,正常
1291,正常
394,正常
6730,正常
5766,正常
6346,正常
6543,正常
830,正常
2825,正常
3859,正常
8116,异常
6872,正常
1172,正常
6369,正常
1661,正常
6340,正常
5590,正常
4677,正常
2635,正常
3978,正常
5452,正常
7798,异常
3148,正常
7269,异常
5411,正常
9182,异常
9215,异常
3305,正常
4042,正常
7545,异常
6465,正常
2178,正常
1252,正常
7850,异常
906,正常
4979,正常
2027,正常
3177,正常
3834,正常
6351,正常
9043,异常
464,正常
6788,正常
5680,正常
5222,正常
3466,正常
5860,正常
8248,异常
8920,异常
5870,正常
9598,异常
6097,正常
7139,异常
2591,正常
4395,正常
5841,正常
2704,正常
168,正常
6672,正常
3615,正常
7345,异常
4798,正常
5605,正常
9245,异常
5119,正常
3234,正常
1801,正常
5803,正常
3057,正常
48,正常
8805,异常
7253,异常
8727,异常
7191,异常
1976,正常
1266,正常
8825,异常
4746,正常
8736,异常
8193,异常
1397,正常
8203,异常
6630,正常
7496,异常
6064,正常
5916,正常
6161,正常
1708,正常
4665,正常
6733,正常
2715,正常
9875,异常
8301,异常
698,正常
5568,正常
6922,正常
7477,异常
5506,正常
1906,正常
8189,异常
5955,正常
2821,正常
4576,正常
5702,正常
8915,异常
9438,异常
6435,正常
1399,正常
8047,异常
2315,正常
5644,正常
3251,正常
9486,异常
4012,正常
7856,异常
1722,正常
3229,正常
3377,正常
6267,正常
1425,正常
2595,正常
4674,正常
2541,正常
5099,正常
9996,异常
3973,正常
2538,正常
2560,正常
2815,正常
1362,正常
6327,正常
8842,异常
467,正常
2975,正常
5507,正常
290,正常
1290,正常
3544,正常
9137,异常
7259,异常
4028,正常
6090,正常
43,正常
4570,正常
1369,正常
4516,正常
2944,正常
7981,异常
1101,正常
71,正常
1529,正常
937,正常
9091,异常
1205,正常
9290,异常
3543,正常
7918,异常
4208,正常
9858,异常
9809,异常
1697,正常
7144,异常
2902,正常
6414,正常
4437,正常
3288,正常
3952,正常
6171,正常
8577,异常
5084,正常
9343,异常
8658,异常
1812,正常
9381,异常
3502,正常
4342,正常
4762,正常
7053,异常
4875,正常
7502,异常
7901,异常
6813,正常
2487,正常
8063,异常
3620,正常
9872,异常
7170,异常
8510,异常
3755,正常
5924,正常
2233,正常
4943,正常
7050,异常
6964,正常
548,正常
1287,正常
6871,正常
9458,异常
4361,正常
1980,正常
1510,正常
9421,异常
5640,正常
6206,正常
6990,正常
3724,正常
4348,正常
3632,正常
6396,正常
6319,正常
600,正常
1609,正常
8493,异常
5476,正常
390,正常
1819,正常
9417,异常
2130,正常
4660,正常
3016,正常
2312,正常
7064,异常
2074,正常
9649,异常
9511,异常
2276,正常
2290,正常
9252,异常
7107,异常
4694,正常
8810,异常
8463,异常
1351,正常
633,正常
8376,异常
203,正常
5157,正常
9077,异常
6468,正常
6282,正常
6621,正常
1890,正常
808,正常
9104,异常
3534,正常
5187,正常
6517,正常
2671,正常
9537,异常
8630,异常
2634,正常
6901,正常
2364,正常
7684,异常
7530,异常
4900,正常
7150,异常
6833,正常
3489,正常
3430,正常
3797,正常
7384,异常
7205,异常
6756,正常
4265,正常
7499,异常
6726,正常
8818,异常
4822,正常
4934,正常
5949,正常
2769,正常
5784,正常
636,正常
7674,异常
6241,正常
6879,正常
353,正常
795,正常
473,正常
9857,异常
5035,正常
4574,正常
8091,异常
7290,异常
6905,正常
6184,正常
2853,正常
750,正常
4498,正常
46,正常
2993,正常
2812,正常
1686,正常
1268,正常
6823,正常
2037,正常
5398,正常
4130,正常
9282,异常
666,正常
8686,异常
5527,正常
3290,正常
7461,异常
6044,正常
9700,异常
6,正常
2201,正常
9074,异常
901,正常
9643,异常
1179,正常
7493,异常
9217,异常
5899,正常
7408,异常
8152,异常
1735,正常
1570,正常
9604,异常
2562,正常
9240,异常
8296,异常
4176,正常
401,正常
1473,正常
3813,正常
7716,异常
1519,正常
6422,正常
869,正常
7682,异常
481,正常
4510,正常
8903,异常
9981,异常
4945,正常
627,正常
5466,正常
3782,正常
8172,异常
2737,正常
324,正常
359,正常
875,正常
2048,正常
9352,异常
2797,正常
8164,异常
715,正常
1808,正常
9176,异常
8257,异常
6348,正常
7382,异常
8181,异常
6769,正常
9135,异常
2830,正常
196,正常
9396,异常
4444,正常
873,正常
3476,正常
8076,异常
1839,正常
4140,正常
7041,异常
5051,正常
3587,正常
5283,正常
7832,异常
2751,正常
8418,异常
3601,正常
1352,正常
8499,异常
1057,正常
4433,正常
9923,异常
1416,正常
8056,异常
311,正常
3050,正常
8337,异常
789,正常
9075,异常
8928,异常
2831,正常
9676,异常
4078,正常
2555,正常
2071,正常
1938,正常
1771,正常
4497,正常
8933,异常
8127,异常
8357,异常
9371,异常
3499,正常
181,正常
5604,正常
2573,正常
2024,正常
2614,正常
3372,正常
1220,正常
6780,正常
3056,正常
9782,异常
8338,异常
6659,正常
6157,正常
5294,正常
2930,正常
4133,正常
8150,异常
3098,正常
6392,正常
8155,异常
7047,异常
4370,正常
6278,正常
8614,异常
3827,正常
128,正常
5500,正常
2236,正常
6548,正常
7173,异常
23,正常
8666,异常
9070,异常
113,正常
4180,正常
8987,异常
8015,异常
4611,正常
4296,正常
5303,正常
6811,正常
6354,正常
3417,正常
8596,异常
5635,正常
3917,正常
7612,异常
6118,正常
6617,正常
8513,异常
7866,异常
3609,正常
582,正常
2524,正常
8656,异常
7398,异常
3239,正常
2894,正常
7495,异常
6789,正常
3194,正常
3788,正常
7992,异常
2718,正常
2776,正常
9536,异常
1441,正常
1468,正常
3066,正常
3819,正常
